stage,augmentation,normalization,val_macro_f1,val_accuracy,epochs_run,seconds,batch_size,lr,dropout,l2_lambda,l1_lambda,epochs,patience
A_preprocessing,none,imagenet,0.9745463422519126,0.9764890282131662,12,464.40357089042664,,,,,,,
A_preprocessing,none,zero_one,0.972376696829757,0.9764890282131662,12,309.2465982437134,,,,,,,
A_preprocessing,none,dataset,0.9633611177264427,0.9733542319749217,12,338.3150951862335,,,,,,,
A_preprocessing,light,imagenet,0.967437369265709,0.9749216300940439,12,599.6194200515747,,,,,,,
A_preprocessing,light,zero_one,0.9691989837674715,0.9749216300940439,12,549.0217800140381,,,,,,,
A_preprocessing,light,dataset,0.9653734227587515,0.9733542319749217,12,456.8800938129425,,,,,,,
A_preprocessing,heavy,imagenet,0.95910025226572,0.9639498432601881,12,499.732008934021,,,,,,,
A_preprocessing,heavy,zero_one,0.9595009396643003,0.9670846394984326,12,468.36323976516724,,,,,,,
A_preprocessing,heavy,dataset,0.9508485161865945,0.9608150470219435,12,430.4471662044525,,,,,,,
B_optimization,,,0.9756799123668505,0.9780564263322884,12,422.2288520336151,16.0,0.0001,,,,,
B_optimization,,,0.9709927088163748,0.9764890282131662,12,370.5345108509064,16.0,0.0003,,,,,
B_optimization,,,0.9522966573590198,0.9686520376175548,12,344.64713621139526,16.0,0.001,,,,,
B_optimization,,,0.9684482277539952,0.9717868338557993,12,434.20598888397217,32.0,0.0001,,,,,
B_optimization,,,0.9745463422519126,0.9764890282131662,12,332.18734073638916,32.0,0.0003,,,,,
B_optimization,,,0.9589762563835521,0.9686520376175548,12,295.7249171733856,32.0,0.001,,,,,
B_optimization,,,0.9455919308054015,0.9545454545454546,12,296.1337740421295,64.0,0.0001,,,,,
B_optimization,,,0.9665213660997546,0.9702194357366771,12,307.73813796043396,64.0,0.0003,,,,,
B_optimization,,,0.9505768229027406,0.9608150470219435,12,291.1362807750702,64.0,0.001,,,,,
C1_dropout,,,0.9650612178785094,0.9717868338557993,11,268.5561592578888,,,0.2,,,,
C1_dropout,,,0.9756799123668505,0.9780564263322884,12,324.4295539855957,,,0.3,,,,
C1_dropout,,,0.9575217556812649,0.9670846394984326,12,408.01325583457947,,,0.5,,,,
C2_l2,,,0.9756799123668505,0.9780564263322884,12,448.8499581813812,,,,0.0,,,
C2_l2,,,0.9756799123668505,0.9780564263322884,12,454.09625816345215,,,,1e-05,,,
C2_l2,,,0.9756799123668505,0.9780564263322884,12,451.89851427078247,,,,0.0001,,,
C3_l1,,,0.9756799123668505,0.9780564263322884,12,381.30653834342957,,,,,0.0,,
C3_l1,,,0.9664721985941211,0.9702194357366771,12,291.32184386253357,,,,,1e-05,,
D_schedule,,,0.9756799123668505,0.9780564263322884,17,599.1863186359406,,,,,,30.0,5.0
D_schedule,,,0.9759528482430931,0.9780564263322884,30,827.923712015152,,,,,,30.0,10.0
D_schedule,,,0.9756799123668505,0.9780564263322884,17,497.095263004303,,,,,,60.0,5.0
D_schedule,,,0.9761463844797178,0.9780564263322884,49,1445.8466658592224,,,,,,60.0,10.0
